motor,cmd_duty,t,actual_duty,erpm,imotor,ibatt,id,iq,vin,fault,trips,qdrop,crc
left,-0.45,0.08475619001546875,-0.45,-4324.0,0.23,0.44,0.0,-0.23,42.7,0,0,0,0
left,-0.45,0.20889299403643236,-0.45,-3809.0,0.1,0.3,0.0,-0.1,42.7,0,0,0,0
left,-0.4,0.09560473397141322,-0.4,-3809.0,0.21,0.38,0.01,-0.21,42.7,0,0,0,0
left,-0.4,0.22015665599610656,-0.4,-3333.0,0.12,0.28,-0.02,-0.12,42.7,0,0,0,0
left,-0.35,0.0847660579602234,-0.4,-3333.0,0.2,0.34,0.01,-0.2,42.7,0,0,0,0
left,-0.35,0.20913435996044427,-0.35,-2857.0,0.07,0.24,0.0,-0.07,42.7,0,0,0,0
left,-0.3,0.08492117299465463,-0.3,-2857.0,0.21,0.32,0.0,-0.21,42.7,0,0,0,0
left,-0.3,0.2092352490290068,-0.3,-2318.0,0.06,0.22,0.0,-0.06,42.7,0,0,0,0
left,-0.25,0.0849487969535403,-0.25,-2352.0,0.2,0.28,-0.01,-0.2,42.7,0,0,0,0
left,-0.25,0.20902039197972044,-0.25,-1860.0,0.06,0.2,0.0,-0.06,42.7,0,0,0,0
left,-0.2,0.08459489198867232,-0.25,-1860.0,0.16,0.24,0.0,-0.16,42.7,0,0,0,0
left,-0.2,0.20902643800945953,-0.2,-1391.0,0.07,0.18,0.0,-0.07,42.7,0,0,0,0
left,-0.15,0.07460395799716935,-0.2,-1379.0,0.13,0.2,0.0,-0.13,42.7,0,0,0,0
left,-0.15,0.19913075998192653,-0.15,-952.0,0.04,0.16,-0.01,-0.04,42.7,0,0,0,0
left,-0.1,0.08511159894987941,-0.1,-919.0,0.15,0.2,0.01,-0.15,42.7,0,0,0,0
left,-0.1,0.2195798959583044,-0.1,-512.0,0.09,0.14,-0.02,-0.09,42.7,0,0,0,0
left,-0.05,0.09584019298199564,-0.1,-467.0,0.18,0.16,0.01,-0.18,42.7,0,0,0,0
left,-0.05,0.2310439909924753,0.05,-470.0,0.13,0.14,0.13,0.03,42.7,0,0,0,0
left,0.0,0.10688855202170089,0.0,0.0,0.33,0.14,0.33,0.05,42.7,0,0,0,0
left,0.0,0.2521219520131126,0.0,0.0,0.32,0.14,0.32,0.03,42.7,0,0,0,0
